ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
55,2024-04,Piano Playmat Merk Sugar Baby - Warna Biru,6,1,5,0,Kurang Optimal
36,2024-04,Toilet Training Seat Merk Sugar Baby - Warna Abu,2,2,0,0,Optimal
15,2024-04,Toilet Training Seat Merk Sugar Baby - Warna Biru,1,1,0,0,Optimal
16,2024-04,Toilet Training Seat Merk Sugar Baby - Warna Pink,72,1,71,0,Overstock
75,2024-05,"8in1 Gift Parcel Bayi Import - Motif Mobil Balap Biru, Usia 0–3 Bulan",1,1,0,0,Optimal
76,2024-05,"8in1 Gift Parcel Bayi Import - Usia 3–6 Bulan, Girl",1,1,0,0,Optimal
77,2024-05,"8in1 Gift Parcel Bayi Import - Warna Biru, Usia 3–6 Bulan",95,1,94,0,Overstock
78,2024-05,"8in1 Gift Parcel Bayi Import - Warna Kuning, Usia 3–6 Bulan",1,1,0,0,Optimal
73,2024-05,Baby Walker Minicar Merk Sugar Baby - Warna Pink,25,1,24,0,Overstock
56,2024-05,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Boy",1,1,0,0,Optimal
79,2024-05,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Girl",17,2,15,0,Kurang Optimal
80,2024-05,"Baju Renang Anak Premium Motif Karakter - Ukuran XXL, Boy",20,1,19,0,Kurang Optimal
63,2024-05,"Diapers Renang Anak - Warna Biru, Ukuran L",9,11,0,2,Understock
64,2024-05,"Diapers Renang Anak - Warna Biru, Ukuran M",47,7,40,0,Overstock
65,2024-05,"Diapers Renang Anak - Warna Biru, Ukuran XL",52,3,49,0,Overstock
66,2024-05,"Diapers Renang Anak - Warna Pink, Ukuran L",5,5,0,0,Optimal
67,2024-05,"Diapers Renang Anak - Warna Pink, Ukuran M",12,7,5,0,Kurang Optimal
68,2024-05,"Diapers Renang Anak - Warna Pink, Ukuran XL",96,3,93,0,Overstock
81,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Biru, Ukuran L",96,5,91,0,Overstock
82,2024-05,"Diapers Renang Anak Merk Ocheers - Warna Biru, Ukuran M",25,2,23,0,Overstock
