Tanggal,Total Penjualan (IDR),Total Pesanan,Penjualan per Pesanan,Produk Dilihat,Total Pengunjung,Tingkat Konversi (Pesanan Siap Dikirim),Pesanan Dibatalkan,Penjualan Dibatalkan,Pesanan Dikembalikan,Penjualan Dikembalikan,Pembeli,Total Pembeli Baru,Total Pembeli Saat Ini,Total Potensi Pembeli,Tingkat Pembelian Berulang
19-10-2023,0,0,"0,00",45,31,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
20-10-2023,71.218,1,"71.218,00",79,31,"3,23%",0,0,0,0,1,1,0,6,"0,00%"
21-10-2023,0,0,"0,00",35,21,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
22-10-2023,175.3,2,"87.650,00",103,34,"5,88%",0,0,0,0,2,2,0,2,"0,00%"
23-10-2023,0,0,"0,00",59,37,"0,00%",0,0,0,0,0,0,0,6,"0,00%"
24-10-2023,67.8,1,"67.800,00",44,28,"3,57%",0,0,0,0,1,1,0,3,"0,00%"
25-10-2023,348.246,5,"69.649,20",153,40,"12,50%",0,0,0,0,5,5,0,3,"0,00%"
26-10-2023,110.5,1,"110.500,00",84,33,"3,03%",0,0,0,0,1,1,0,5,"0,00%"
27-10-2023,46.8,1,"46.800,00",48,28,"3,57%",0,0,0,0,1,1,0,6,"0,00%"
28-10-2023,253.738,2,"126.869,00",72,26,"7,69%",0,0,0,0,2,2,0,2,"0,00%"
29-10-2023,0,0,"0,00",48,23,"0,00%",0,0,0,0,0,0,0,6,"0,00%"
30-10-2023,44.008,1,"44.008,00",85,36,"2,78%",0,0,0,0,1,1,0,9,"0,00%"
31-10-2023,37.85,1,"37.850,00",52,27,"3,70%",0,0,0,0,1,1,0,5,"0,00%"
1/11/2023,202.7,2,"101.350,00",33,20,"10,00%",0,0,0,0,2,2,0,3,"0,00%"
2/11/2023,303.5,3,"101.166,67",64,28,"10,71%",0,0,0,0,3,3,0,7,"0,00%"
3/11/2023,724.183,5,"144.836,60",107,32,"12,50%",1,237.741,0,0,4,3,1,8,"25,00%"
4/11/2023,0,0,"0,00",95,30,"0,00%",0,0,0,0,0,0,0,10,"0,00%"
